Kod stacji,Nazwa stacji,Rok,Miesiac,Dzien,Godzina,Temperatura powietrza [°C],Status pomiaru TEMP,Temperatura termometru zwil¿onego [°C],Status pomiaru TTZW,WskaŸnik lodu [L/W],WskaŸnik wentylacji [W/N],Wilgotnoœæ wzglêdna [%],Status pomiaru WLGW,Kod kierunku wiatru [kod],Status pomiaru DKDK,Prêdkoœæ wiatru [m/s],Status pomiaru FWR,Zachmurzenie ogólne [0-10 do dn.31.12.1988/oktanty od dn.01.01.1989],Status pomiaru ZOGK,Widzialnoœæ [kod],Status pomiaru WID
249180160,BRENNA,2023,01,22,12,.1,,.0,8,,N,0,8,NNE,,2,,8,,4,
249180160,BRENNA,2023,01,22,18,.1,,.0,8,,N,0,8,  C,,0,,8,,4,
249180160,BRENNA,2023,01,23,06,-.7,,.0,8,,N,0,8,  C,,0,,8,,4,
249180160,BRENNA,2023,01,23,12,1.5,,.0,8,,N,0,8,NNE,,1,,8,,4,
249180160,BRENNA,2023,01,23,18,1.7,,.0,8,,N,0,8,  C,,0,,8,,4,
249180160,BRENNA,2023,01,24,06,.8,,.0,8,,N,0,8,  C,,0,,8,,4,
249180160,BRENNA,2023,01,24,12,2.1,,.0,8,,N,0,8,  N,,3,,7,,5,
249180160,BRENNA,2023,01,24,18,.8,,.0,8,,N,0,8,  N,,1,,8,,4,
249180160,BRENNA,2023,01,25,06,-.1,,.0,8,,N,0,8,NNE,,1,,8,,4,
249180160,BRENNA,2023,01,25,12,.3,,.0,8,,N,0,8,  C,,0,,8,,5,
249180160,BRENNA,2023,01,25,18,-.2,,.0,8,,N,0,8,ESE,,1,,8,,5,
249180160,BRENNA,2023,01,26,06,-.9,,.0,8,,N,0,8,  C,,0,,8,,4,
249180160,BRENNA,2023,01,26,12,.6,,.0,8,,N,0,8,WNW,,1,,8,,6,
249180160,BRENNA,2023,01,26,18,-.5,,.0,8,,N,0,8,  C,,0,,8,,5,
249180160,BRENNA,2023,01,27,06,-1.2,,.0,8,,N,0,8,NNE,,2,,8,,4,
249180160,BRENNA,2023,01,27,12,-1.2,,.0,8,,N,0,8, NE,,3,,8,,6,
249180160,BRENNA,2023,01,27,18,-.9,,.0,8,,N,0,8,NNE,,2,,8,,6,
249180160,BRENNA,2023,01,28,06,-2.1,,.0,8,,N,0,8,NNE,,1,,8,,5,
249180160,BRENNA,2023,01,28,12,-1.3,,.0,8,,N,0,8,NNE,,2,,8,,5,
249180160,BRENNA,2023,01,28,18,-1.6,,.0,8,,N,0,8, NW,,1,,8,,5,
249180160,BRENNA,2023,01,29,06,-3.9,,.0,8,,N,0,8,  C,,0,,8,,6,
249180160,BRENNA,2023,01,29,12,-3.1,,.0,8,,N,0,8,WSW,,1,,7,,7,
249180160,BRENNA,2023,01,29,18,-4.9,,.0,8,,N,0,8, SE,,2,,7,,6,
249180160,BRENNA,2023,01,30,06,-3.6,,.0,8,,N,0,8, SE,,4,,7,,6,
249180160,BRENNA,2023,01,30,12,-.5,,.0,8,,N,0,8, SE,,1,,8,,5,
249180160,BRENNA,2023,01,30,18,2.3,,.0,8,,N,0,8, SW,,4,,8,,6,
249180160,BRENNA,2023,01,31,06,1.5,,.0,8,,N,0,8,  W,,5,,8,,6,
249180160,BRENNA,2023,01,31,12,1.3,,.0,8,,N,0,8,WNW,,4,,8,,6,
249180160,BRENNA,2023,01,31,18,1.2,,.0,8,,N,0,8,WSW,,1,,8,,5,
249190560,JAB£ONKA,2023,01,01,06,2.5,,.0,8,,N,0,8,ENE,,2,,4,,8,
249190560,JAB£ONKA,2023,01,01,12,12.5,,.0,8,W,N,0,8,WSW,,1,,2,,8,
249190560,JAB£ONKA,2023,01,01,18,1.6,,.0,8,,N,0,8,ENE,,1,,2,,8,
249190560,JAB£ONKA,2023,01,02,06,-1.8,,.0,8,,N,0,8,ENE,,1,,4,,5,
249190560,JAB£ONKA,2023,01,02,12,9.5,,.0,8,W,N,0,8,SSE,,1,,2,,8,
249190560,JAB£ONKA,2023,01,02,18,5.6,,.0,8,W,N,0,8,WSW,,1,,1,,8,
249190560,JAB£ONKA,2023,01,03,06,.0,,.0,8,,N,0,8,  C,,0,,6,,5,
249190560,JAB£ONKA,2023,01,03,12,6.6,,.0,8,W,N,0,8, NW,,1,,8,,7,
249190560,JAB£ONKA,2023,01,03,18,1.7,,.0,8,,N,0,8,  C,,0,,8,,7,
249190560,JAB£ONKA,2023,01,04,06,-2.2,,.0,8,,N,0,8, NW,,1,,8,,1,
249190560,JAB£ONKA,2023,01,04,12,4.8,,.0,8,,N,0,8,WSW,,2,,8,,7,
249190560,JAB£ONKA,2023,01,04,18,3.8,,.0,8,,N,0,8,WSW,,2,,8,,5,
249190560,JAB£ONKA,2023,01,05,06,5.4,,.0,8,W,N,0,8,WSW,,1,,8,,5,
249190560,JAB£ONKA,2023,01,05,12,5.7,,.0,8,W,N,0,8,SSE,,1,,7,,7,
249190560,JAB£ONKA,2023,01,05,18,5.3,,.0,8,W,N,0,8,  W,,3,,8,,7,
249190560,JAB£ONKA,2023,01,06,06,1.8,,.0,8,,N,0,8,  W,,2,,7,,7,
249190560,JAB£ONKA,2023,01,06,12,4.1,,.0,8,,N,0,8,WSW,,1,,8,,7,
249190560,JAB£ONKA,2023,01,06,18,3.8,,.0,8,,N,0,8,  C,,0,,8,,5,
249190560,JAB£ONKA,2023,01,07,06,3.3,,.0,8,,N,0,8,  C,,0,,8,,5,
249190560,JAB£ONKA,2023,01,07,12,7.3,,.0,8,W,N,0,8, SE,,1,,2,,8,
249190560,JAB£ONKA,2023,01,07,18,.6,,.0,8,,N,0,8,  C,,0,,8,,1,
249190560,JAB£ONKA,2023,01,08,06,-.4,,.0,8,,N,0,8,ESE,,1,,8,,3,
249190560,JAB£ONKA,2023,01,08,12,5.1,,.0,8,W,N,0,8,WSW,,1,,2,,8,
249190560,JAB£ONKA,2023,01,08,18,-.4,,.0,8,,N,0,8,ESE,,1,,6,,8,
249190560,JAB£ONKA,2023,01,09,06,7.2,,.0,8,W,N,0,8,SSW,,3,,6,,7,
249190560,JAB£ONKA,2023,01,09,12,7.8,,.0,8,W,N,0,8, SW,,2,,7,,7,
249190560,JAB£ONKA,2023,01,09,18,5.4,,.0,8,W,N,0,8,ENE,,1,,7,,7,
249190560,JAB£ONKA,2023,01,10,06,.9,,.0,8,,N,0,8, NE,,1,,8,,5,
249190560,JAB£ONKA,2023,01,10,12,1.2,,.0,8,,N,0,8,  W,,1,,8,,5,
249190560,JAB£ONKA,2023,01,10,18,.6,,.0,8,,N,0,8,  C,,0,,8,,5,
249190560,JAB£ONKA,2023,01,11,06,.3,,.0,8,,N,0,8, NE,,1,,3,,8,
249190560,JAB£ONKA,2023,01,11,12,4.2,,.0,8,,N,0,8,WSW,,1,,3,,8,
249190560,JAB£ONKA,2023,01,11,18,-1.7,,.0,8,,N,0,8,  C,,0,,1,,8,
249190560,JAB£ONKA,2023,01,12,06,1.6,,.0,8,,N,0,8, SW,,1,,8,,7,
249190560,JAB£ONKA,2023,01,12,12,5.0,,.0,8,,N,0,8,  W,,3,,1,,8,
249190560,JAB£ONKA,2023,01,12,18,.0,,.0,8,,N,0,8,  W,,1,,2,,8,
249190560,JAB£ONKA,2023,01,13,06,3.8,,.0,8,,N,0,8,WSW,,2,,7,,7,
249190560,JAB£ONKA,2023,01,13,12,5.6,,.0,8,W,N,0,8,WSW,,1,,8,,7,
249190560,JAB£ONKA,2023,01,13,18,4.2,,.0,8,,N,0,8, SW,,2,,7,,7,
249190560,JAB£ONKA,2023,01,14,06,2.1,,.0,8,,N,0,8,WSW,,1,,8,,7,
249190560,JAB£ONKA,2023,01,14,12,5.1,,.0,8,W,N,0,8,WSW,,1,,5,,8,
249190560,JAB£ONKA,2023,01,14,18,-2.1,,.0,8,,N,0,8,  C,,0,,0,,8,
249190560,JAB£ONKA,2023,01,15,06,3.3,,.0,8,,N,0,8,  W,,3,,7,,7,
249190560,JAB£ONKA,2023,01,15,12,4.2,,.0,8,,N,0,8,WSW,,3,,8,,7,
249190560,JAB£ONKA,2023,01,15,18,2.6,,.0,8,,N,0,8,  W,,3,,8,,5,
249190560,JAB£ONKA,2023,01,16,06,-.7,,.0,8,,N,0,8,ENE,,1,,8,,5,
249190560,JAB£ONKA,2023,01,16,12,1.6,,.0,8,,N,0,8,  E,,1,,8,,7,
249190560,JAB£ONKA,2023,01,16,18,.9,,.0,8,,N,0,8,  E,,1,,8,,7,
249190560,JAB£ONKA,2023,01,17,06,-.9,,.0,8,,N,0,8,  E,,1,,8,,7,
249190560,JAB£ONKA,2023,01,17,12,3.3,,.0,8,,N,0,8,WSW,,1,,3,,8,
249190560,JAB£ONKA,2023,01,17,18,-.8,,.0,8,,N,0,8, NE,,1,,8,,8,
249190560,JAB£ONKA,2023,01,18,06,-.1,,.0,8,,N,0,8,  C,,0,,8,,7,
249190560,JAB£ONKA,2023,01,18,12,2.6,,.0,8,,N,0,8,WSW,,1,,6,,7,
249190560,JAB£ONKA,2023,01,18,18,-.2,,.0,8,,N,0,8,  W,,1,,2,,7,
249190560,JAB£ONKA,2023,01,19,06,-.4,,.0,8,,N,0,8, NE,,2,,8,,5,
249190560,JAB£ONKA,2023,01,19,12,.2,,.0,8,,N,0,8,NNE,,1,,8,,5,
249190560,JAB£ONKA,2023,01,19,18,-1.4,,.0,8,,N,0,8,ESE,,1,,8,,5,
249190560,JAB£ONKA,2023,01,20,06,-2.5,,.0,8,,N,0,8, NE,,1,,8,,5,
249190560,JAB£ONKA,2023,01,20,12,-2.2,,.0,8,,N,0,8, NE,,2,,8,,7,
249190560,JAB£ONKA,2023,01,20,18,-2.0,,.0,8,,N,0,8,NNE,,3,,8,,5,
249190560,JAB£ONKA,2023,01,21,06,-2.4,,.0,8,,N,0,8,  C,,0,,8,,7,
249190560,JAB£ONKA,2023,01,21,12,-.4,,.0,8,,N,0,8,  W,,1,,8,,7,
